名称,地区,经度,维度,总价/万,单价/元,规格,大小/平方米,朝向,装修,楼层,楼层样式,关注人数
笋江花园城,南环路,114.084612974891,22.6347650141235,120.56,14000,2室2厅,86,南北,简装,中楼层(共7层),板楼,130
海景国际花园-星域,赤山水库,118.600454239883,24.9013548740441,279,19929,3室2厅,140,东南,精装,高楼层(共18层),板塔结合,70
华珠时代城,泉港区,118.57962199613,24.8934920239444,26,4802,2室1厅,54,西南,简装,中楼层(共6层),板塔结合,30
中骏四季花城2期,泉州桥南,114.089504877205,22.5486862804858,205,20130,3室2厅,101,南北,精装,高楼层(共34层),板楼,50
卓辉汇景城,晋江万达,119.342973631803,27.1066946270493,178,14201,4室2厅,125,南,精装,中楼层(共27层),板楼,90
新门街北区,新门街,120.778990373846,31.6490419937357,185,26984,3室2厅,68,南,精装,高楼层(共4层),板楼,310
金帝花园,泉秀街,113.962529662903,22.6357211932584,536,21431,5室2厅,250,东南,精装,高楼层(共6层),板楼,150
东海湾雅园,东海,114.414286620299,30.6304113002414,265,19386,3室2厅,136,北,精装,中楼层(共31层),板楼,90
梅龙小区,晋江万达,118.614867911108,24.8859165460766,259,21822,3室2厅,118,南,精装,中楼层(共17层),板楼,70
御文阁1期,东海,118.677823856143,24.9554296200202,308,21354,3室2厅,144,东南,精装,中楼层(共38层),板塔结合,30
泉秀花园,泉秀街,121.497360798648,31.6823472261387,150,13275,3室2厅,113,南北,简装,中楼层(共6层),板楼,230
湖心佳苑,东湖,116.372228728489,39.9099089059189,58,16749,1室0厅,34,南北,简装,高楼层(共7层),板楼,90
浔兴奥林春天,宝龙广场,100.593433067732,38.538862641574,115,18890,1室1厅,60,南,精装,低楼层(共27层),板塔结合,30
中骏西湖一号北区,西湖,113.846361527731,36.0810519501253,270,30978,2室1厅,87,南北,简装,中楼层(共9层),塔楼,30
鼎盛大观,站前大道,118.580578062684,24.8458588515739,65,12510,3室1厅,51,东东南,精装,高楼层(共19层),塔楼,90
茂诚皇江御景,浮桥,118.932906059858,25.1392079875621,161.7,18134,3室2厅,89,西南,毛坯,中楼层(共31层),暂无数据,170
蓝海国际,泉港区,116.693977867236,39.870157124364,40,3262,3室2厅,122,南北,毛坯,中楼层(共22层),板楼,70
鼎盛大观,站前大道,118.666822847549,24.9272854145853,258,20315,3室1厅,127,东南,毛坯,低楼层(共33层),板塔结合,30
恒大名都,石狮中心,118.581370278313,24.8858864716886,145,12832,3室2厅,113,南,精装,高楼层(共33层),板楼,30
龙湖嘉天下紫晋城,池店南,116.559512940873,39.8608492929611,252,19379,4室2厅,130,南,毛坯,中楼层(共34层),板楼,190
中航城天悦,宝龙广场,113.228878971788,23.3274900194551,127,16880,3室2厅,75,东南,毛坯,低楼层(共18层),板塔结合,390
宝宏花苑,丰泽街,112.041311362562,22.9278498536682,355,19004,5室3厅,186,南,简装,高楼层(共19层),塔楼,90
中骏四季康城2期,南环路,104.097042665224,30.7604320399673,98,11137,3室2厅,88,东南,精装,低楼层(共34层),塔楼,70
崎山聚兴小区一区,宝龙广场,118.5746133141,24.8893531721886,102,13958,3室1厅,73,南,精装,高楼层(共11层),板塔结合,350
福新花园城,丰泽街,112.130783669293,22.484095624013,420,25029,3室2厅,167,东南,精装,高楼层(共27层),板塔结合,30
莲华花园,服装城,118.615090960366,24.8926030377198,78,5076,3室2厅,153,东东南,精装,中楼层(共8层),板塔结合,370
卓辉汇景城,晋江万达,116.459315674798,39.9230077923451,123,16622,3室2厅,74,西,精装,中楼层(共27层),板楼,90
晋江溜霞花园,泉州桥南,116.380381389975,40.0183813631457,205,12696,4室2厅,161,东南,精装,中楼层(共21层),板楼,90
海景国际花园-星域,赤山水库,116.525538038349,40.0859715367137,228,19777,3室1厅,115,东南,毛坯,低楼层(共31层),板塔结合,170
